"bairro","cidade","estado"
"GARDÊNIA","ITUIUTABA","MINAS GERAIS"
"GUIMARÃES","ITUIUTABA","MINAS GERAIS"
"HÉLIO","ITUIUTABA","MINAS GERAIS"
"INDEPENDÊNCIA","ITUIUTABA","MINAS GERAIS"
"IPIRANGA","ITUIUTABA","MINAS GERAIS"
"JARDIM DO ROSÁRIO","ITUIUTABA","MINAS GERAIS"
"JARDIM EUROPA","ITUIUTABA","MINAS GERAIS"
"JARDIM JAMILA","ITUIUTABA","MINAS GERAIS"
"JERÔNIMO MENDONÇA","ITUIUTABA","MINAS GERAIS"
"ARRUDAS","PARAMOTI","CEARÁ"
"LAGOA AZUL II","ITUIUTABA","MINAS GERAIS"
"MARIA VILELA","ITUIUTABA","MINAS GERAIS"
"MARTA HELENA","ITUIUTABA","MINAS GERAIS"
"MIRIM","ITUIUTABA","MINAS GERAIS"
"NATAL","ITUIUTABA","MINAS GERAIS"
"NOSSA SENHORA APARECIDA","ITUIUTABA","MINAS GERAIS"
"NOVO HORIZONTE","ITUIUTABA","MINAS GERAIS"
"NOVO MUNDO","ITUIUTABA","MINAS GERAIS"
"NOVO TEMPO II","ITUIUTABA","MINAS GERAIS"
"PARANAÍBA","ITUIUTABA","MINAS GERAIS"
"PIRAPITINGA","ITUIUTABA","MINAS GERAIS"
"PLATINA","ITUIUTABA","MINAS GERAIS"
"PROGRESSO","ITUIUTABA","MINAS GERAIS"
"RESIDENCIAL BURITIS","ITUIUTABA","MINAS GERAIS"
"RESIDENCIAL CANAÃ I","ITUIUTABA","MINAS GERAIS"
"RESIDENCIAL CANAÃ II","ITUIUTABA","MINAS GERAIS"
"RESIDENCIAL DRUMMOND","ITUIUTABA","MINAS GERAIS"
"RESIDENCIAL MONTE VERDE","ITUIUTABA","MINAS GERAIS"
"RESIDENCIAL PORTAL DOS IPÊS","ITUIUTABA","MINAS GERAIS"
"RIBEIRO","ITUIUTABA","MINAS GERAIS"
"SANTA EDWIGES","ITUIUTABA","MINAS GERAIS"
"SANTA MARIA","ITUIUTABA","MINAS GERAIS"
"SANTO ANTÔNIO","ITUIUTABA","MINAS GERAIS"
"SÃO JOSÉ","ITUIUTABA","MINAS GERAIS"
"SATÉLITE ANDRADINA","ITUIUTABA","MINAS GERAIS"
"SETOR NORTE","ITUIUTABA","MINAS GERAIS"
"SETOR NORTE INDUSTRIAL","ITUIUTABA","MINAS GERAIS"
"SETOR SUL","ITUIUTABA","MINAS GERAIS"
"SOL NASCENTE","ITUIUTABA","MINAS GERAIS"
"TIRADENTES","ITUIUTABA","MINAS GERAIS"
"TUPÃ","ITUIUTABA","MINAS GERAIS"
"UNIVERSITÁRIO","ITUIUTABA","MINAS GERAIS"
"VILA MIISA","ITUIUTABA","MINAS GERAIS"
"ZONA RURAL","ITUIUTABA","MINAS GERAIS"
"CENTRO","ITUMIRIM","MINAS GERAIS"
"CENTRO","ITURAMA","MINAS GERAIS"
"CENTRO","ITUTINGA","MINAS GERAIS"
"CENTRO","JABOTICATUBAS","MINAS GERAIS"
"CENTRO","JACINTO","MINAS GERAIS"
"CENTRO","JACUÍ","MINAS GERAIS"
"CENTRO","JACUTINGA","MINAS GERAIS"
"CENTRO","JAGUARAÇU","MINAS GERAIS"
"CENTRO","JAÍBA","MINAS GERAIS"
"CENTRO","JAMPRUCA","MINAS GERAIS"
"CENTRO","JANAÚBA","MINAS GERAIS"
"PADRE EUSTAQUIO","JANAÚBA","MINAS GERAIS"
"CENTRO","JANUÁRIA","MINAS GERAIS"
"VÁRZEA BONITA","JANUÁRIA","MINAS GERAIS"
"CENTRO","JAPARAÍBA","MINAS GERAIS"
"CENTRO","JAPONVAR","MINAS GERAIS"
"CENTRO","JECEABA","MINAS GERAIS"
"CENTRO","JENIPAPO DE MINAS","MINAS GERAIS"
"CENTRO","JEQUERI","MINAS GERAIS"
"POUSO ALEGRE DA MATA","JEQUERI","MINAS GERAIS"
"CENTRO","JEQUITAÍ","MINAS GERAIS"
"CENTRO","JEQUITIBÁ","MINAS GERAIS"
"CENTRO","JEQUITINHONHA","MINAS GERAIS"
"CENTRO","JESUÂNIA","MINAS GERAIS"
"CENTRO","JOAÍMA","MINAS GERAIS"
"GIRU","JOAÍMA","MINAS GERAIS"
"MARIANOS","JOAÍMA","MINAS GERAIS"
"CENTRO","JOANÉSIA","MINAS GERAIS"
"ACLIMAÇÃO","JOÃO MONLEVADE","MINAS GERAIS"
"ALVORADA","JOÃO MONLEVADE","MINAS GERAIS"
"AREIA PRETA","JOÃO MONLEVADE","MINAS GERAIS"
"BAÚ","JOÃO MONLEVADE","MINAS GERAIS"
"BELMONTE","JOÃO MONLEVADE","MINAS GERAIS"
"BOA VISTA","JOÃO MONLEVADE","MINAS GERAIS"
"CAMPOS ELÍSIOS","JOÃO MONLEVADE","MINAS GERAIS"
"CARNEIRINHOS","JOÃO MONLEVADE","MINAS GERAIS"
"CENTRO INDUSTRIAL","JOÃO MONLEVADE","MINAS GERAIS"
"CIDADE NOVA","JOÃO MONLEVADE","MINAS GERAIS"
"CORUMBIANA DE VANESSA","JOÃO MONLEVADE","MINAS GERAIS"
"CRUZEIRO CELESTE","JOÃO MONLEVADE","MINAS GERAIS"
"DISTRITO INDUSTRIAL","JOÃO MONLEVADE","MINAS GERAIS"
"ERNESTINA GRACIANA","JOÃO MONLEVADE","MINAS GERAIS"
"ESTRELA DALVA","JOÃO MONLEVADE","MINAS GERAIS"
"FEIXOS","JOÃO MONLEVADE","MINAS GERAIS"
"INDUSTRIAL","JOÃO MONLEVADE","MINAS GERAIS"
"IPIRANGA","JOÃO MONLEVADE","MINAS GERAIS"
"JACUÍ","JOÃO MONLEVADE","MINAS GERAIS"
"JOSÉ DE ALENCAR","JOÃO MONLEVADE","MINAS GERAIS"
"JOSÉ ELÓI","JOÃO MONLEVADE","MINAS GERAIS"
"LARANJEIRAS","JOÃO MONLEVADE","MINAS GERAIS"
"LOANDA","JOÃO MONLEVADE","MINAS GERAIS"
"LOURDES","JOÃO MONLEVADE","MINAS GERAIS"
"LUCÍLIA","JOÃO MONLEVADE","MINAS GERAIS"
"MANGABEIRAS","JOÃO MONLEVADE","MINAS GERAIS"
"METALÚRGICO","JOÃO MONLEVADE","MINAS GERAIS"
"NOSSA SENHORA DA CONCEIÇÃO","JOÃO MONLEVADE","MINAS GERAIS"
"NOVA ACLIMAÇÃO","JOÃO MONLEVADE","MINAS GERAIS"
"NOVA ESPERANÇA","JOÃO MONLEVADE","MINAS GERAIS"
"NOVA MONLEVADE","JOÃO MONLEVADE","MINAS GERAIS"
"NOVO CRUZEIRO","JOÃO MONLEVADE","MINAS GERAIS"
"NOVO HORIZONTE","JOÃO MONLEVADE","MINAS GERAIS"
"PAINEIRAS","JOÃO MONLEVADE","MINAS GERAIS"
"PALMARES","JOÃO MONLEVADE","MINAS GERAIS"
"PARQUE RECREIO PARAÍSO","JOÃO MONLEVADE","MINAS GERAIS"
"PETRÓPOLIS","JOÃO MONLEVADE","MINAS GERAIS"
"PRIMEIRO DE MAIO","JOÃO MONLEVADE","MINAS GERAIS"
"RECANTO PARAÍSO","JOÃO MONLEVADE","MINAS GERAIS"
"REPÚBLICA","JOÃO MONLEVADE","MINAS GERAIS"
"ROSÁRIO","JOÃO MONLEVADE","MINAS GERAIS"
"SANTA BÁRBARA","JOÃO MONLEVADE","MINAS GERAIS"
"SANTA CECÍLIA","JOÃO MONLEVADE","MINAS GERAIS"
"SANTA CRUZ","JOÃO MONLEVADE","MINAS GERAIS"
"SANTO HIPÓLITO","JOÃO MONLEVADE","MINAS GERAIS"
"SÃO BENEDITO","JOÃO MONLEVADE","MINAS GERAIS"
"SÃO GERALDO","JOÃO MONLEVADE","MINAS GERAIS"
"SÃO JOÃO","JOÃO MONLEVADE","MINAS GERAIS"
"SÃO JORGE","JOÃO MONLEVADE","MINAS GERAIS"
"SÃO JOSÉ","JOÃO MONLEVADE","MINAS GERAIS"
"SATÉLITE","JOÃO MONLEVADE","MINAS GERAIS"
"SERRA","JOÃO MONLEVADE","MINAS GERAIS"
"SION","JOÃO MONLEVADE","MINAS GERAIS"
"TANQUINHO","JOÃO MONLEVADE","MINAS GERAIS"
"TERESÓPOLIS","JOÃO MONLEVADE","MINAS GERAIS"
"VALE DO SOL","JOÃO MONLEVADE","MINAS GERAIS"
"VERA CRUZ","JOÃO MONLEVADE","MINAS GERAIS"
"VILA TANQUE","JOÃO MONLEVADE","MINAS GERAIS"
"CENTRO","JOÃO PINHEIRO","MINAS GERAIS"
"CENTRO","JOAQUIM FELÍCIO","MINAS GERAIS"
"CENTRO","JORDÂNIA","MINAS GERAIS"
"BELTRÃO","JOSÉ GONÇALVES DE MINAS","MINAS GERAIS"
"CENTRO","JOSÉ RAYDAN","MINAS GERAIS"
"CENTRO","JOSENÓPOLIS","MINAS GERAIS"
"BOA VISTA DA SERRA","JUATUBA","MINAS GERAIS"
"CENTRO","JUATUBA","MINAS GERAIS"
"FRANCELINOS","JUATUBA","MINAS GERAIS"
"ADOLFO VIREQUE","JUIZ DE FORA","MINAS GERAIS"
"AEROPORTO","JUIZ DE FORA","MINAS GERAIS"
"ALTO DOS PINHEIROS","JUIZ DE FORA","MINAS GERAIS"
"ALTO SUMARÉ","JUIZ DE FORA","MINAS GERAIS"
"ARACY","JUIZ DE FORA","MINAS GERAIS"
"ARCO ÍRIS","JUIZ DE FORA","MINAS GERAIS"
"BAIRU","JUIZ DE FORA","MINAS GERAIS"
"BANDEIRANTES","JUIZ DE FORA","MINAS GERAIS"
"BARBOSA LAGE","JUIZ DE FORA","MINAS GERAIS"
"BARREIRA DO TRIUNFO","JUIZ DE FORA","MINAS GERAIS"
"BENFICA","JUIZ DE FORA","MINAS GERAIS"
"BOA VISTA","JUIZ DE FORA","MINAS GERAIS"
"BOM CLIMA","JUIZ DE FORA","MINAS GERAIS"
"BOM PASTOR","JUIZ DE FORA","MINAS GERAIS"
"BONFIM","JUIZ DE FORA","MINAS GERAIS"
"BONSUCESSO","JUIZ DE FORA","MINAS GERAIS"
"BORBOLETA","JUIZ DE FORA","MINAS GERAIS"
"BOSQUE DO IMPERADOR","JUIZ DE FORA","MINAS GERAIS"
"BOSQUE DOS PINHEIROS","JUIZ DE FORA","MINAS GERAIS"
"CACHOEIRA","JUIZ DE FORA","MINAS GERAIS"
"CAIÇARAS","JUIZ DE FORA","MINAS GERAIS"
"CARLOS CHAGAS","JUIZ DE FORA","MINAS GERAIS"
"CASCATINHA","JUIZ DE FORA","MINAS GERAIS"
"CENTENÁRIO","JUIZ DE FORA","MINAS GERAIS"
"CENTRO","JUIZ DE FORA","MINAS GERAIS"
"CERÂMICA","JUIZ DE FORA","MINAS GERAIS"
"CHALES DO IMPERADOR","JUIZ DE FORA","MINAS GERAIS"
"CIDADE DO SOL","JUIZ DE FORA","MINAS GERAIS"
"CIDADE JARDIM","JUIZ DE FORA","MINAS GERAIS"
"CIDADE NOVA","JUIZ DE FORA","MINAS GERAIS"
"COSTA CARVALHO","JUIZ DE FORA","MINAS GERAIS"
"CRUZEIRO DO SUL","JUIZ DE FORA","MINAS GERAIS"
"DEMOCRATA","JUIZ DE FORA","MINAS GERAIS"
"DISTRITO INDUSTRIAL","JUIZ DE FORA","MINAS GERAIS"
"DOM BOSCO","JUIZ DE FORA","MINAS GERAIS"
"ELDORADO","JUIZ DE FORA","MINAS GERAIS"
"ENCOSTA DO SOL","JUIZ DE FORA","MINAS GERAIS"
"ESPLANADA","JUIZ DE FORA","MINAS GERAIS"
"FÁBRICA","JUIZ DE FORA","MINAS GERAIS"
"FILGUEIRAS","JUIZ DE FORA","MINAS GERAIS"
"FLORESTA","JUIZ DE FORA","MINAS GERAIS"
"FONTESVILLE","JUIZ DE FORA","MINAS GERAIS"
"FONTESVILLE II","JUIZ DE FORA","MINAS GERAIS"
"FRANCISCO BERNARDINO","JUIZ DE FORA","MINAS GERAIS"
"GRAJAÚ","JUIZ DE FORA","MINAS GERAIS"
"GRAMA","JUIZ DE FORA","MINAS GERAIS"
"GRAMINHA","JUIZ DE FORA","MINAS GERAIS"
"GRANBERY","JUIZ DE FORA","MINAS GERAIS"
"GRANJAS BETÂNIA","JUIZ DE FORA","MINAS GERAIS"
"GRANJAS BETHEL","JUIZ DE FORA","MINAS GERAIS"
"GRANJAS DO BOSQUE","JUIZ DE FORA","MINAS GERAIS"
"GRANJAS GUARUJÁ","JUIZ DE FORA","MINAS GERAIS"
"GRANJAS SANTO ANTÔNIO","JUIZ DE FORA","MINAS GERAIS"
"GRANVILLE","JUIZ DE FORA","MINAS GERAIS"
"IGREJINHA","JUIZ DE FORA","MINAS GERAIS"
"INDUSTRIAL","JUIZ DE FORA","MINAS GERAIS"
"IPIRANGA","JUIZ DE FORA","MINAS GERAIS"
"IPIRANGUINHA","JUIZ DE FORA","MINAS GERAIS"
"JARDIM CASABLANCA","JUIZ DE FORA","MINAS GERAIS"
"JARDIM DE ALÁ","JUIZ DE FORA","MINAS GERAIS"
"JARDIM DO SOL","JUIZ DE FORA","MINAS GERAIS"
"JARDIM DOS ALFINEIROS","JUIZ DE FORA","MINAS GERAIS"
"JARDIM ESPERANÇA","JUIZ DE FORA","MINAS GERAIS"
"JARDIM EUROPA","JUIZ DE FORA","MINAS GERAIS"
"JARDIM GLÓRIA","JUIZ DE FORA","MINAS GERAIS"
"JARDIM L ERMITAGE","JUIZ DE FORA","MINAS GERAIS"
"JARDIM NATAL","JUIZ DE FORA","MINAS GERAIS"
"JARDIM OLÍMPIA","JUIZ DE FORA","MINAS GERAIS"
"JARDINS IMPERIAIS","JUIZ DE FORA","MINAS GERAIS"
"JÓQUEI CLUBE","JUIZ DE FORA","MINAS GERAIS"
"LADEIRA","JUIZ DE FORA","MINAS GERAIS"
"LINHARES","JUIZ DE FORA","MINAS GERAIS"
"LOURDES","JUIZ DE FORA","MINAS GERAIS"
"MANOEL HONÓRIO","JUIZ DE FORA","MINAS GERAIS"
"MANSÕES DO BOM PASTOR","JUIZ DE FORA","MINAS GERAIS"
"MARIANO PROCÓPIO","JUIZ DE FORA","MINAS GERAIS"
"MARILÂNDIA","JUIZ DE FORA","MINAS GERAIS"
"MARTELOS","JUIZ DE FORA","MINAS GERAIS"
"MARUMBI","JUIZ DE FORA","MINAS GERAIS"
"MILHO BRANCO","JUIZ DE FORA","MINAS GERAIS"
"MONTE CASTELO","JUIZ DE FORA","MINAS GERAIS"
"MORRO DA GLÓRIA","JUIZ DE FORA","MINAS GERAIS"
"MUNDO NOVO","JUIZ DE FORA","MINAS GERAIS"
"NOSSA SENHORA APARECIDA","JUIZ DE FORA","MINAS GERAIS"
"NOSSA SENHORA DAS GRAÇAS","JUIZ DE FORA","MINAS GERAIS"
"NOSSA SENHORA DE FÁTIMA","JUIZ DE FORA","MINAS GERAIS"
"NOVA BENFICA","JUIZ DE FORA","MINAS GERAIS"
"NOVA CALIFÓRNIA","JUIZ DE FORA","MINAS GERAIS"
"NOVA ERA","JUIZ DE FORA","MINAS GERAIS"
"JARDIM TATIANA","VOTORANTIM","SÃO PAULO"
"NOVO HORIZONTE","JUIZ DE FORA","MINAS GERAIS"
"NOVO TRIUNFO","JUIZ DE FORA","MINAS GERAIS"
"PARQUE ALTO","JUIZ DE FORA","MINAS GERAIS"
"PARQUE DAS PALMEIRAS","JUIZ DE FORA","MINAS GERAIS"
"PARQUE DAS SAMAMBAIAS","JUIZ DE FORA","MINAS GERAIS"
"PARQUE DAS TORRES","JUIZ DE FORA","MINAS GERAIS"
"PARQUE GUADALAJARA","JUIZ DE FORA","MINAS GERAIS"
"PARQUE GUARANI","JUIZ DE FORA","MINAS GERAIS"
"PARQUE GUARUA","JUIZ DE FORA","MINAS GERAIS"
"PARQUE IMPERIAL","JUIZ DE FORA","MINAS GERAIS"
"PARQUE INDEPENDÊNCIA","JUIZ DE FORA","MINAS GERAIS"
"PARQUE INDEPENDÊNCIA III","JUIZ DE FORA","MINAS GERAIS"
"PARQUE JARDIM BURNIER","JUIZ DE FORA","MINAS GERAIS"
"PARQUE JARDIM DA SERRA","JUIZ DE FORA","MINAS GERAIS"
"PARQUE SERRA VERDE","JUIZ DE FORA","MINAS GERAIS"
"PASSOS","JUIZ DE FORA","MINAS GERAIS"
"PEDRA BONITA","JUIZ DE FORA","MINAS GERAIS"
"POÇO RICO","JUIZ DE FORA","MINAS GERAIS"
"PONTE PRETA","JUIZ DE FORA","MINAS GERAIS"
"PORTAL DA TORRE","JUIZ DE FORA","MINAS GERAIS"
"PREVIDENCIÁRIOS","JUIZ DE FORA","MINAS GERAIS"
"PROGRESSO","JUIZ DE FORA","MINAS GERAIS"
"QUINTAS DAS AVENIDAS","JUIZ DE FORA","MINAS GERAIS"
"RECANTO DOS LAGOS","JUIZ DE FORA","MINAS GERAIS"
"RESIDÊNCIA","JUIZ DE FORA","MINAS GERAIS"
"RETIRO","JUIZ DE FORA","MINAS GERAIS"
"SAGRADO CORAÇÃO DE JESUS","JUIZ DE FORA","MINAS GERAIS"
"SALVATERRA","JUIZ DE FORA","MINAS GERAIS"
"SANTA CÂNDIDA","JUIZ DE FORA","MINAS GERAIS"
"SANTA CATARINA","JUIZ DE FORA","MINAS GERAIS"
"SANTA CECÍLIA","JUIZ DE FORA","MINAS GERAIS"
"SANTA CRUZ","JUIZ DE FORA","MINAS GERAIS"
"SANTA EFIGÊNIA","JUIZ DE FORA","MINAS GERAIS"
"SANTA HELENA","JUIZ DE FORA","MINAS GERAIS"
"SANTA ISABEL","JUIZ DE FORA","MINAS GERAIS"
"SANTA LUZIA","JUIZ DE FORA","MINAS GERAIS"
"SANTA MARIA","JUIZ DE FORA","MINAS GERAIS"
"SANTA PAULA","JUIZ DE FORA","MINAS GERAIS"
"SANTA RITA DE CÁSSIA","JUIZ DE FORA","MINAS GERAIS"
"SANTA TERESA","JUIZ DE FORA","MINAS GERAIS"
"SANTA TEREZINHA","JUIZ DE FORA","MINAS GERAIS"
"SANTANA","JUIZ DE FORA","MINAS GERAIS"
"SANTO ANTÔNIO","JUIZ DE FORA","MINAS GERAIS"
"SANTOS ANJOS","JUIZ DE FORA","MINAS GERAIS"
"SANTOS DUMONT","JUIZ DE FORA","MINAS GERAIS"
"02 DE AGOSTO","MORADA NOVA","CEARÁ"
"SÃO BENEDITO","JUIZ DE FORA","MINAS GERAIS"
"SÃO BERNARDO","JUIZ DE FORA","MINAS GERAIS"
"SÃO DAMIÃO","JUIZ DE FORA","MINAS GERAIS"
"SÃO DIMAS","JUIZ DE FORA","MINAS GERAIS"
"SÃO FRANCISCO DE PAULA","JUIZ DE FORA","MINAS GERAIS"
"SÃO GERALDO","JUIZ DE FORA","MINAS GERAIS"
"SÃO JUDAS TADEU","JUIZ DE FORA","MINAS GERAIS"
"SÃO MATEUS","JUIZ DE FORA","MINAS GERAIS"
"SÃO PEDRO","JUIZ DE FORA","MINAS GERAIS"
"SÃO SEBASTIÃO","JUIZ DE FORA","MINAS GERAIS"
"SÃO TARCÍSIO","JUIZ DE FORA","MINAS GERAIS"
"SERRA D'ÁGUA","JUIZ DE FORA","MINAS GERAIS"
"SOLIDARIEDADE","JUIZ DE FORA","MINAS GERAIS"
"SPINA VILLE II","JUIZ DE FORA","MINAS GERAIS"
"TEIXEIRAS","JUIZ DE FORA","MINAS GERAIS"
"TERRAS ALTAS","JUIZ DE FORA","MINAS GERAIS"
"TIGUERA","JUIZ DE FORA","MINAS GERAIS"
"TRÊS MOINHOS","JUIZ DE FORA","MINAS GERAIS"
"TUPÃ","JUIZ DE FORA","MINAS GERAIS"
"VALE DO AMANHECER","JUIZ DE FORA","MINAS GERAIS"
"VALE DO IPÊ","JUIZ DE FORA","MINAS GERAIS"
"VALE VERDE","JUIZ DE FORA","MINAS GERAIS"
"VERBO DIVINO","JUIZ DE FORA","MINAS GERAIS"
"VILA ALPINA","JUIZ DE FORA","MINAS GERAIS"
"VILA BRANCA","JUIZ DE FORA","MINAS GERAIS"
"VILA DA PRATA","JUIZ DE FORA","MINAS GERAIS"
"VILA ESPERANÇA II","JUIZ DE FORA","MINAS GERAIS"
"VILA FURTADO DE MENEZES","JUIZ DE FORA","MINAS GERAIS"
"VILA IDEAL","JUIZ DE FORA","MINAS GERAIS"
"VILA MONTANHESA","JUIZ DE FORA","MINAS GERAIS"
"VILA OLAVO COSTA","JUIZ DE FORA","MINAS GERAIS"
"VILA OZANAN","JUIZ DE FORA","MINAS GERAIS"
"VINA DEL MAR","JUIZ DE FORA","MINAS GERAIS"
"VITORINO BRAGA","JUIZ DE FORA","MINAS GERAIS"
"VIVENDAS DA SERRA","JUIZ DE FORA","MINAS GERAIS"
"VIVENDAS DAS FONTES","JUIZ DE FORA","MINAS GERAIS"
"VIVENDAS DO RETIRO","JUIZ DE FORA","MINAS GERAIS"
"CENTRO","JURAMENTO","MINAS GERAIS"
"CENTRO","JURUAIA","MINAS GERAIS"
"MATA DO SINO","JURUAIA","MINAS GERAIS"
"CENTRO","JUVENÍLIA","MINAS GERAIS"
"CENTRO","LADAINHA","MINAS GERAIS"
"CENTRO","LAGAMAR","MINAS GERAIS"
"CENTRO","LAGOA DA PRATA","MINAS GERAIS"
"CENTRO","LAGOA DOS PATOS","MINAS GERAIS"
"ARAME","LAGOA DOURADA","MINAS GERAIS"
"COHAB","VOTUPORANGA","SÃO PAULO"
"PARQUE RESIDENCIAL SANTA AMÉLIA","VOTUPORANGA","SÃO PAULO"
"PARQUE RIO VERMELHO","VOTUPORANGA","SÃO PAULO"
"PARQUE ROSELÂNDIA","VOTUPORANGA","SÃO PAULO"
"CATAUÁ","LAGOA DOURADA","MINAS GERAIS"
"CENTRO","LAGOA DOURADA","MINAS GERAIS"
"CENTRO","LAGOA FORMOSA","MINAS GERAIS"
"LIMEIRA DE MINAS","LAGOA FORMOSA","MINAS GERAIS"
"CENTRO","LAGOA GRANDE","MINAS GERAIS"
"AEROPORTO","LAGOA SANTA","MINAS GERAIS"
"CENTRO","LAGOA SANTA","MINAS GERAIS"
"JOANA D'ARC","LAGOA SANTA","MINAS GERAIS"
"LAGOINHA DE FORA","LAGOA SANTA","MINAS GERAIS"
"CENTRO","LAJINHA","MINAS GERAIS"
"CENTRO","LAMBARI","MINAS GERAIS"
"CENTRO","LAMIM","MINAS GERAIS"
"CENTRO","LARANJAL","MINAS GERAIS"
"CENTRO","LASSANCE","MINAS GERAIS"
"CENTRO","LAVRAS","MINAS GERAIS"
"ESAL","LAVRAS","MINAS GERAIS"
"CENTRO","LEANDRO FERREIRA","MINAS GERAIS"
"CENTRO","LEME DO PRADO","MINAS GERAIS"
"CENTRO","LEOPOLDINA","MINAS GERAIS"
"CENTRO","LIBERDADE","MINAS GERAIS"
"CENTRO","LIMA DUARTE","MINAS GERAIS"
"CENTRO","LIMEIRA DO OESTE","MINAS GERAIS"
"CENTRO","LONTRA","MINAS GERAIS"
"CENTRO","LUISBURGO","MINAS GERAIS"
"CENTRO","LUISLÂNDIA","MINAS GERAIS"
"CENTRO","LUMINÁRIAS","MINAS GERAIS"
"CENTRO","LUZ","MINAS GERAIS"
"CENTRO","MACHACALIS","MINAS GERAIS"
"CENTRO","MACHADO","MINAS GERAIS"
"BRASILINHA","MADRE DE DEUS DE MINAS","MINAS GERAIS"
"CENTRO","MADRE DE DEUS DE MINAS","MINAS GERAIS"
"CENTRO","MALACACHETA","MINAS GERAIS"
"BARRINHA","MAMONAS","MINAS GERAIS"
"CENTRO","MAMONAS","MINAS GERAIS"
"CENTRO","MANGA","MINAS GERAIS"
"BAIXADA","MANHUAÇU","MINAS GERAIS"
"BOM PASTOR","MANHUAÇU","MINAS GERAIS"
"CENTRO","MANHUAÇU","MINAS GERAIS"
"DOM CORRÊA","MANHUAÇU","MINAS GERAIS"
"SANTO ANTÔNIO","MANHUAÇU","MINAS GERAIS"
"CENTRO","MANHUMIRIM","MINAS GERAIS"
"CENTRO","MANTENA","MINAS GERAIS"
"NAZÁRIO","MANTENA","MINAS GERAIS"
"CENTRO","MAR DE ESPANHA","MINAS GERAIS"
"CENTRO","MARAVILHAS","MINAS GERAIS"
"CENTRO","MARIA DA FÉ","MINAS GERAIS"
"ÁGUAS CLARAS","MARIANA","MINAS GERAIS"
"CENTRO","MARIANA","MINAS GERAIS"
"VILA DO CARMO","MARIANA","MINAS GERAIS"
"CENTRO","MARILAC","MINAS GERAIS"
"CENTRO","MÁRIO CAMPOS","MINAS GERAIS"
"CENTRO","MARIPÁ DE MINAS","MINAS GERAIS"
"CENTRO","MARLIÉRIA","MINAS GERAIS"
"SANTA RITA","MARLIÉRIA","MINAS GERAIS"
"CENTRO","MARMELÓPOLIS","MINAS GERAIS"
"CENTRO","MARTINHO CAMPOS","MINAS GERAIS"
"CENTRO","MARTINS SOARES","MINAS GERAIS"
"CENTRO","MATA VERDE","MINAS GERAIS"
"CENTRO","MATERLÂNDIA","MINAS GERAIS"
"CÓRREGO DO BUFÃO","MATERLÂNDIA","MINAS GERAIS"
"CENTRO","MATEUS LEME","MINAS GERAIS"
"CENTRO","MATHIAS LOBATO","MINAS GERAIS"
"CENTRO","MATIAS BARBOSA","MINAS GERAIS"
"CENTRO","MATIAS CARDOSO","MINAS GERAIS"
"RIO VERDE DE MINAS","MATIAS CARDOSO","MINAS GERAIS"
"CENTRO","MATIPÓ","MINAS GERAIS"
"CENTRO","MATO VERDE","MINAS GERAIS"
"CENTRO","MATOZINHOS","MINAS GERAIS"
"CENTRO","MATUTINA","MINAS GERAIS"
"CENTRO","MEDEIROS","MINAS GERAIS"
"CENTRO","MEDINA","MINAS GERAIS"
"CENTRO","MENDES PIMENTEL","MINAS GERAIS"
"CENTRO","MERCÊS","MINAS GERAIS"
"BARRA GRANDE","MESQUITA","MINAS GERAIS"
"BURRINHO","MESQUITA","MINAS GERAIS"
"CENTRO","MESQUITA","MINAS GERAIS"
"BAIXA QUENTE","MINAS NOVAS","MINAS GERAIS"
"CENTRO","MINAS NOVAS","MINAS GERAIS"
"CRUZINHA","MINAS NOVAS","MINAS GERAIS"
"CENTRO","MINDURI","MINAS GERAIS"
"CENTRO","MIRABELA","MINAS GERAIS"
"CENTRO","MIRADOURO","MINAS GERAIS"
"CENTRO","MIRAÍ","MINAS GERAIS"
"CENTRO","MIRAVÂNIA","MINAS GERAIS"
"CENTRO","MOEDA","MINAS GERAIS"
"CENTRO","MOEMA","MINAS GERAIS"
"CENTRO","MONJOLOS","MINAS GERAIS"
"CENTRO","MONSENHOR PAULO","MINAS GERAIS"
"CENTRO","MONTALVÂNIA","MINAS GERAIS"
"CENTRO","MONTE ALEGRE DE MINAS","MINAS GERAIS"
"CENTRO","MONTE AZUL","MINAS GERAIS"
"CENTRO","MONTE BELO","MINAS GERAIS"
"BURITIS","MONTE CARMELO","MINAS GERAIS"
"CENTRO","MONTE CARMELO","MINAS GERAIS"
"CENTRO","MONTE FORMOSO","MINAS GERAIS"
"CENTRO","MONTE SANTO DE MINAS","MINAS GERAIS"
"CENTRO","MONTE SIÃO","MINAS GERAIS"
"ACÁCIAS","MONTES CLAROS","MINAS GERAIS"
"ALCIDES RABELO","MONTES CLAROS","MINAS GERAIS"
"ALICE MAIA","MONTES CLAROS","MINAS GERAIS"
"ALTEROSA II","MONTES CLAROS","MINAS GERAIS"
"ALTEROSAS","MONTES CLAROS","MINAS GERAIS"
"ALTO DA BOA VISTA","MONTES CLAROS","MINAS GERAIS"
"ALTO FLORESTA","MONTES CLAROS","MINAS GERAIS"
"ALTO SÃO JOÃO","MONTES CLAROS","MINAS GERAIS"
"AMAZONAS","MONTES CLAROS","MINAS GERAIS"
"ANTÔNIO CANELA","MONTES CLAROS","MINAS GERAIS"
"ANTÔNIO PIMENTA","MONTES CLAROS","MINAS GERAIS"
