"bairro","cidade","estado"
"JARDIM SORRILÂNDIA II","SOUSA","PARAÍBA"
"JARDIM SORRILÂNDIA III","SOUSA","PARAÍBA"
"RETIRO","MATÃO","SÃO PAULO"
"ANEXO ANTÔNIO FERNANDES","ANÁPOLIS","GOIÁS"
"ANEXO BOM SUCESSO","ANÁPOLIS","GOIÁS"
"ANEXO FREI EUSTÁQUIO","ANÁPOLIS","GOIÁS"
"ANEXO MARACANANZINHO","ANÁPOLIS","GOIÁS"
"PARQUE RESIDENCIAL ANDER - II ETAPA","ANÁPOLIS","GOIÁS"
"MONTE ALEGRE","TELÊMACO BORBA","PARANÁ"
"JARDIM DEOCLÉCIO ARTUZZI","DOURADOS","MATO GROSSO DO SUL"
"GETAT","TUCURUÍ","PARÁ"
"JARDIM DIANA","ANÁPOLIS","GOIÁS"
"JARDIM MORUMBI II","ITUMBIARA","GOIÁS"
"CONDOMÍNIO HORIZONTAL PARAÍSO","ITUMBIARA","GOIÁS"
"RESIDENCIAL DONA GURI RODRIGUES","ITUMBIARA","GOIÁS"
"OLINTA SOARES GUIMARÃES","ITUMBIARA","GOIÁS"
"BIRIBIRI","MANACAPURU","AMAZONAS"
"CORRENTEZA","MANACAPURU","AMAZONAS"
"SÃO FRANCISCO","MANACAPURU","AMAZONAS"
"APARECIDA","MANACAPURU","AMAZONAS"
"LIBERDADE","MANACAPURU","AMAZONAS"
"SÃO JOSÉ","MANACAPURU","AMAZONAS"
"UNIÃO","MANACAPURU","AMAZONAS"
"TERRA PRETA","MANACAPURU","AMAZONAS"
"NOVA MANACÁ","MANACAPURU","AMAZONAS"
"MORADA DO SOL","MANACAPURU","AMAZONAS"
"VALE VERDE","MANACAPURU","AMAZONAS"
"RESIDENCIAL RIO JORDÃO","ANÁPOLIS","GOIÁS"
"JARDIM ESPERANÇA","ANÁPOLIS","GOIÁS"
"SANTA GENOVEVA 2","GOIÂNIA","GOIÁS"
"RESIDENCIAL DO CAMARGO","AVARÉ","SÃO PAULO"
"JARDIM SANTA MARTA","SÃO JOSÉ DOS QUATRO MARCOS","MATO GROSSO"
"USINA","ATIBAIA","SÃO PAULO"
"JARDIM PAULISTA II","ITU","SÃO PAULO"
"ITU NOVO CENTRO","ITU","SÃO PAULO"
"SIMONSEN","VOTUPORANGA","SÃO PAULO"
"RESIDENCIAL ANDRADE REIS","APARECIDA DE GOIÂNIA","GOIÁS"
"PARQUE TABAPUA","CAUCAIA","CEARÁ"
"JARDIM OLÍMPICO","POUSO ALEGRE","MINAS GERAIS"
"JARDIM BELA VISTA","PALMAS","TOCANTINS"
"JARDIM DAS PALMEIRAS","CAMPO NOVO DO PARECIS","MATO GROSSO"
"MICHELIN","ITIQUIRA","MATO GROSSO"
"JARDIM PRIMAVERA II","RONDONÓPOLIS","MATO GROSSO"
"ASSIS GARRIDO","SOUSA","PARAÍBA"
"BANCÁRIOS","SOUSA","PARAÍBA"
"JARDINS","SOUSA","PARAÍBA"
"JOSÉ LINS DO REGO","SOUSA","PARAÍBA"
"ZÚ SILVA","SOUSA","PARAÍBA"
"DOUTOR ZEZÉ","SOUSA","PARAÍBA"
"PARQUE DA MATRIZ","GRAVATAÍ","RIO GRANDE DO SUL"
